  #ID,  diet code,   Nf_g,   Cw_g,   Cd_g,   Nm_g,   Cm_g
  175, 14-57-29-3, 0.284071, 0.821319, 0.181014, 0.046394, 0.185575
  176, 42-29-29-3, 0.879032, 0.266653, 0.187081, 0.046394, 0.185575
  177, 42-29-29-3, 0.814958, 0.247216, 0.173444, 0.046394, 0.185575
  178, 23-38-38-3, 0.561093, 0.529371, 0.218267, 0.046394, 0.185575
  179, 23-38-38-3, 0.532834, 0.502710, 0.207274, 0.046394, 0.185575
  180, 60-20-20-4, 1.433388, 0.091044, 0.213795, 0.046394, 0.185575
  181, 60-20-20-4, 1.471047, 0.093436, 0.219412, 0.046394, 0.185575
  182,  5-75-20-4, 0.131818, 1.544019, 0.236313, 0.046394, 0.185575
  183,  5-75-20-4, 0.116433, 1.363803, 0.208731, 0.046394, 0.185575
  184,  5-20-75-4, 0.155242, 0.118427, 0.278062, 0.046394, 0.185575
  185,  5-20-75-4, 0.165999, 0.126633, 0.297330, 0.046394, 0.185575
  186, 33-48-20-4, 0.708616, 0.679623, 0.192076, 0.046394, 0.185575
  187, 33-48-20-4, 0.695945, 0.667471, 0.188642, 0.046394, 0.185575
  188, 33-20-48-4, 0.966873, 0.111778, 0.262452, 0.046394, 0.185575
  189, 33-20-48-4, 0.797867, 0.092240, 0.216576, 0.046394, 0.185575
  190,  5-48-48-4, 0.142424, 0.909300, 0.257082, 0.046394, 0.185575
  191,  5-48-48-4, 0.149278, 0.953059, 0.269454, 0.046394, 0.185575
  192, 14-29-57-4, 0.435090, 0.396954, 0.278369, 0.046394, 0.185575
  193, 14-29-57-4, 0.456154, 0.416171, 0.291845, 0.046394, 0.185575
  194, 14-57-29-4, 0.382732, 1.110977, 0.244870, 0.046394, 0.185575
  195, 14-57-29-4, 0.311995, 0.905643, 0.199613, 0.046394, 0.185575
  196, 42-29-29-4, 1.055410, 0.320967, 0.225082, 0.046394, 0.185575
  197, 42-29-29-4, 0.848949, 0.258179, 0.181051, 0.046394, 0.185575
  198, 23-38-38-4, 0.638173, 0.602884, 0.248510, 0.046394, 0.185575
  199, 23-38-38-4, 0.496854, 0.469380, 0.193479, 0.046394, 0.185575
  200, 60-20-20-2, 0.886566, 0.056370, 0.132323, 0.046394, 0.185575
  201, 60-20-20-2, 0.683008, 0.043427, 0.101942, 0.046394, 0.185575
  202, 33-48-20-2, 0.670950, 0.645748, 0.182621, 0.046394, 0.185575
  203, 33-48-20-2, 0.593053, 0.570777, 0.161419, 0.046394, 0.185575
  204, 33-20-48-2, 0.554525, 0.064267, 0.150932, 0.046394, 0.185575
  205, 33-20-48-2, 0.539728, 0.062552, 0.146905, 0.046394, 0.185575
  206, 14-29-57-2, 0.248865, 0.226906, 0.159121, 0.046394, 0.185575
  207, 14-29-57-2, 0.226065, 0.206118, 0.144543, 0.046394, 0.185575
  208, 14-57-29-2, 0.276687, 0.802818, 0.176910, 0.046394, 0.185575
  209, 14-57-29-2, 0.249509, 0.723958, 0.159532, 0.046394, 0.185575
  210, 42-29-29-2, 0.704391, 0.214171, 0.150190, 0.046394, 0.185575
  211, 42-29-29-2, 0.700131, 0.212876, 0.149282, 0.046394, 0.185575
  212, 23-38-38-2, 0.395628, 0.372301, 0.153463, 0.046394, 0.185575
  213, 23-38-38-2, 0.358245, 0.337123, 0.138962, 0.046394, 0.185575
  214, 60-20-20-3, 1.307471, 0.083184, 0.195573, 0.046394, 0.185575
  215, 60-20-20-3, 1.080943, 0.068772, 0.161689, 0.046394, 0.185575
  216,  5-75-20-3, 0.123975, 1.450366, 0.221859, 0.046394, 0.185575
  217,  5-75-20-3, 0.112694, 1.318397, 0.201672, 0.046394, 0.185575
  218, 33-48-20-3, 0.626140, 0.601421, 0.170085, 0.046394, 0.185575
  219, 33-48-20-3, 0.687231, 0.660100, 0.186680, 0.046394, 0.185575
  220, 33-20-48-3, 0.799541, 0.092493, 0.217188, 0.046394, 0.185575
  221, 33-20-48-3, 0.755184, 0.087362, 0.205139, 0.046394, 0.185575
  222, 14-29-57-3, 0.505721, 0.459316, 0.322252, 0.046394, 0.185575
  223, 14-29-57-3, 0.400466, 0.363720, 0.255182, 0.046394, 0.185575
  224, 14-57-29-3, 0.373909, 1.081063, 0.238260, 0.046394, 0.185575
  225, 14-57-29-3, 0.307572, 0.889266, 0.195989, 0.046394, 0.185575
  226, 42-29-29-3, 1.033720, 0.313577, 0.220003, 0.046394, 0.185575
  227, 42-29-29-3, 0.956401, 0.290123, 0.203547, 0.046394, 0.185575
  228, 23-38-38-3, 0.640919, 0.604685, 0.249320, 0.046394, 0.185575
  229, 23-38-38-3, 0.481756, 0.454520, 0.187405, 0.046394, 0.185575
  230, 60-20-20-4, 1.409989, 0.089557, 0.210305, 0.046394, 0.185575
  231, 60-20-20-4, 1.204361, 0.076497, 0.179635, 0.046394, 0.185575
  232,  5-75-20-4, 0.127309, 1.491203, 0.228230, 0.046394, 0.185575
  233,  5-75-20-4, 0.101258, 1.186057, 0.181527, 0.046394, 0.185575
  234,  5-20-75-4, 0.149544, 0.114080, 0.267857, 0.046394, 0.185575
  235,  5-20-75-4, 0.199825, 0.152437, 0.357916, 0.046394, 0.185575
  236, 33-48-20-4, 0.776175, 0.744419, 0.210389, 0.046394, 0.185575
  237, 33-48-20-4, 0.704092, 0.675285, 0.190850, 0.046394, 0.185575
  238, 33-20-48-4, 0.960412, 0.111031, 0.260698, 0.046394, 0.185575
  239, 33-20-48-4, 0.750039, 0.086710, 0.203594, 0.046394, 0.185575
  240,  5-48-48-4, 0.151937, 0.970036, 0.274254, 0.046394, 0.185575
  241,  5-48-48-4, 0.154784, 0.988212, 0.279393, 0.046394, 0.185575
  242, 14-29-57-4, 0.559650, 0.510595, 0.358061, 0.046394, 0.185575
  243, 14-29-57-4, 0.385580, 0.351783, 0.246692, 0.046394, 0.185575
  244, 14-57-29-4, 0.395986, 1.149449, 0.253350, 0.046394, 0.185575
  245, 14-57-29-4, 0.345541, 1.003018, 0.221075, 0.046394, 0.185575
  246, 42-29-29-4, 0.988698, 0.300679, 0.210855, 0.046394, 0.185575
  247, 42-29-29-4, 0.884493, 0.268989, 0.188632, 0.046394, 0.185575
  248, 23-38-38-4, 0.752999, 0.711361, 0.293224, 0.046394, 0.185575
  249, 23-38-38-4, 0.557443, 0.526619, 0.217073, 0.046394, 0.185575
