Mouse_identifier,Cage No,Sex,%P/%C/%F,Diet Code,Sequence_run_identifier,Energy density,Energy,Prot in diet (kJ/kg D.wt),CHO in diet (kJ/kg D.wt),Fat in diet (kJ/kg D.wt),Food eaten g/mouse/d,eaten.P,eaten.C,eaten.F,Total Energy intake (kJ/d),Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Firmicutes_Phylum,Bacteroidetes_Phylum,Clostridia_Class,Bacillae_Class,Erysipelotrichia_Class,Deferribacteres_Class,Verrucomicrobia_Class,Lachnospiraceae_Family,Clostridiaceae_Family,Ruminococcaceae_Family,Eubacteriaceae_Family,Rikenellaceae_Family,Bacteroidaceae_Family,Total_reads
165,114,F,14/29/57,SF09-063,TRTL_0711_7,4 kcal,HIGH,2347.1,4853.44,9539.52,2.6,6.11,12.64,24.84,43.6,165_cecum_1,165_cecum,90.6,5.3,85.7,3.8,1.1,1.5,0,11.8,58.1,7.3,6.1,0.4,1.2,10021
201,167,M,14/29/57,SF09-063,TRTL_0711_43,4 kcal ,HIGH,2347.1,4853.44,9539.52,3.49,8.19,16.94,33.3,58.44,201_cecum_1,201_cecum,72.2,19.4,68.3,3.5,0.4,0,0,13.3,26.6,13,10.6,3.4,7.6,11661
108,16,F,14/57/29,SF09-064,TRTL_0211_8,2 kcal,LOW,1173.55,4769.76,2426.72,3.4,3.99,16.21,8.25,28.45,108_cecum_1,108_cecum,62,25.1,57.6,3.3,0.2,0,11.2,23,12.1,6.6,8.3,6.1,17.5,11886
176,132,F,14/57/29,SF09-064,TRTL_0711_18,2 kcal,LOW,1173.55,4769.76,2426.72,3.37,3.95,16.06,8.17,28.18,176_cecum_1,176_cecum,78.3,18.6,76.2,2,0.1,0,1.2,12,13.9,19.3,19.9,0.9,4.1,9191
209,186,F,14/57/29,SF09-064,TRTL_0711_51,2 kcal,LOW,1173.55,4769.76,2426.72,3.77,4.43,18,9.16,31.6,209_cecum_1,209_cecum,82.5,4.5,78.6,3.8,0.1,7.1,2.3,7.1,15,23.8,23.9,0.6,1.3,14757
119,35,M,14/57/29,SF09-065,TRTL_0211_19,3 kcal,MED,1760.33,7154.64,3640.08,3.08,5.42,22.05,11.22,38.69,119_cecum_1,119_cecum,81.1,7.8,79.2,0.8,0.5,6.6,1.1,35.5,24.3,5.2,8.5,1.8,5.9,8403
120,36,F,14/57/29,SF09-065,TRTL_0211_20,3 kcal,MED,1760.33,7154.64,3640.08,2.67,4.7,19.13,9.73,33.56,120_cecum_1,120_cecum,77,14.9,72.7,2.7,0.8,6.2,0.1,21.7,23.5,8.3,11.4,4.8,9.9,8551
153,96,F,14/57/29,SF09-065,TRTL_0211_53,3 kcal,MED,1760.33,7154.64,3640.08,2.72,4.79,19.45,9.9,34.14,153_cecum_1,153_cecum,45.9,39.6,42.3,1.1,0.5,14.2,0.1,11.5,12.7,6.2,5.6,3.4,34.3,8693
189,149,M,14/57/29,SF09-065,TRTL_0711_31,3 kcal,MED,1760.33,7154.64,3640.08,3.23,5.69,23.11,11.76,40.56,189_cecum_1,189_cecum,84.3,4.2,81.7,2.6,0,7.6,0,9.6,31.8,16.5,18.8,0.3,1.8,20674
190,150,F,14/57/29,SF09-065,TRTL_0711_32,3 kcal,MED,1760.33,7154.64,3640.08,2.66,4.68,19.03,9.68,33.38,190_cecum_1,190_cecum,79.2,8.3,75.1,3.8,0.2,4.3,0,8.2,22.8,18.6,18.1,1,1.3,10099
137,55,M,14/57/29,SF09-066,TRTL_0211_37,4 kcal,HIGH,2347.1,9539.52,4853.44,2.53,5.94,24.13,12.28,42.35,137_cecum_1,137_cecum,94.2,2.6,86.8,0.6,5.7,1.7,0.1,5.6,73.7,3,1.9,0.4,0.9,12040
138,56,F,14/57/29,SF09-066,TRTL_0211_38,4 kcal,HIGH,2347.1,9539.52,4853.44,2.35,5.51,22.39,11.39,39.29,138_cecum_1,138_cecum,94.2,5,87.1,0.2,6,0.1,0,2.4,81.1,1.5,0.8,0.5,2.8,21391
166,115,M,14/57/29,SF09-066,TRTL_0711_8,4 kcal,HIGH,2347.1,9539.52,4853.44,2.77,6.49,26.4,13.43,46.32,166_cecum_1,166_cecum,98.5,1.1,97.9,0.3,0.2,0.1,0,1,95.3,0.8,0.5,0,0.3,15681
